J. A. FENNELLY and D. G. TORR Photon Cross Sections for O, N2, O2, and N
TABLE 1. Photoionization and Photoabsorption Cross Sections for O, N2, O2, and N
See page 331 for Explanation of Tables
Wavelength(Angstrom) | O->       | N2->              | O2->              | N-> |
|    | 4S  2D  2P  4pe  2pe  ION | ABS  N2+  N+  ION | ABS  O2+  O+  ION | ION |
|    |                                x10-18 cm2                               |

988.50 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 4.80 4.03 0.00 4.03 0.00
989.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.30 2.58 0.00 2.58 0.00
989.60 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.50 1.07 0.00 1.07 0.00
989.79 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.76 1.91 0.00 1.91 0.00
990.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 4.15 2.87 0.00 2.87 0.00
991.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 10.79 7.45 0.00 7.45 0.00
991.50 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 14.11 9.74 0.00 9.74 0.00
992.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 17.43 12.95 0.00 12.95 0.00
992.90 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 23.40 19.61 0.00 19.61 0.00
993.20 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 21.60 18.79 0.00 18.79 0.00
993.50 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 24.50 20.83 0.00 20.83 0.00
994.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 21.39 18.03 0.00 18.03 0.00
995.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 15.16 12.57 0.00 12.57 0.00
996.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 8.93 7.29 0.00 7.29 0.00
997.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.70 2.16 0.00 2.16 0.00
997.20 0.06 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.45 1.16 0.00 1.16 0.00
998.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.46 1.18 0.00 1.18 0.00
999.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.48 1.20 0.00 1.20 0.00
1000.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.49 1.22 0.00 1.22 0.00
1001.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.69 2.24 0.00 2.24 0.00
1002.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.90 3.29 0.00 3.29 0.00
1003.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 5.10 4.37 0.00 4.37 0.00
1004.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 6.30 5.48 0.00 5.48 0.00
1004.30 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 5.60 4.85 0.00 4.85 0.00
1004.60 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 6.30 5.44 0.00 5.44 0.00
1005.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 5.41 4.65 0.00 4.65 0.00
1006.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3.17 2.69 0.00 2.69 0.00
1006.80 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.38 1.16 0.00 1.16 0.00
1007.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.46 1.22 0.00 1.22 0.00
1007.90 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.82 1.51 0.00 1.51 0.00
1009.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.44 1.18 0.00 1.18 0.00
1009.40 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.52 1.24 0.00 1.24 0.00
1010.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.45 1.17 0.00 1.17 0.00
1010.20 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.43 1.15 0.00 1.15 0.00
1011.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.34 1.07 0.00 1.07 0.00
1011.40 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.30 1.03 0.00 1.03 0.00
1012.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.15 0.91 0.00 0.91 0.00
1012.30 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.08 0.84 0.00 0.84 0.00
1013.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.23 0.95 0.00 0.95 0.00
1013.50 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.34 1.03 0.00 1.03 0.00
1013.90 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.12 0.86 0.00 0.86 0.00
1015.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.48 1.12 0.00 1.12 0.00
1015.80 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.75 1.30 0.00 1.30 0.00
1016.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.19 0.88 0.00 0.88 0.00
1016.40 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.38 1.02 0.00 1.02 0.00
1016.90 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.08 0.79 0.00 0.79 0.00
1017.20 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.60 1.17 0.00 1.17 0.00
1017.80 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.97 0.70 0.00 0.70 0.00
1018.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.19 0.86 0.00 0.86 0.00
1018.30 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.52 1.09 0.00 1.09 0.00
1018.80 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.08 0.77 0.00 0.77 0.00
1019.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.19 0.85 0.00 0.85 0.00
1019.40 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.41 1.00 0.00 1.00 0.00
1020.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.28 0.90 0.00 0.90 0.00
1020.40 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.19 0.83 0.00 0.83 0.00
1020.80 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.60 1.11 0.00 1.11 0.00
1021.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.40 0.97 0.00 0.97 0.00
1021.60 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.64 1.12 0.00 1.12 0.00
1022.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.47 1.00 0.00 1.00 0.00
1022.40 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.30 0.88 0.00 0.88 0.00
1023.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.64 1.09 0.00 1.09 0.00
1023.40 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.86 1.24 0.00 1.24 0.00
1024.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.43 0.94 0.00 0.94 0.00
1024.60 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.65 0.00 0.65 0.00
1025.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.45 0.94 0.00 0.94 0.00
1025.30 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.79 1.15 0.00 1.15 0.00
1025.70 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.64 1.05 0.00 1.05 0.00
1026.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.52 0.00 0.00 0.00 0.00
1027.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.11 0.00 0.00 0.00 0.00
